Country(Spanish),Country(English),Continent
Arabia Saudita,Saudi Arabia,Asia
Argelia,Algeria,Africa
Argentina,Argentina,South America
Bangladesh,Bangladesh,Asia
Brasil,Brazil,South America
Colombia,Colombia,South America
Ecuador,Ecuador,South America
Egipto,Egypt,Africa
El Salvador,El Salvador,South America
España,Spain,Europe
Estados Unidos,United States,North America
Filipinas,Philippines,Asia
Francia,France,Europe
India,India,Asia
Indonesia,Indonesia,Asia
Iraq,Iraq,Asia
Japón,Japan,Asia
Jordania,Jordan,Asia
Marruecos,Morocco,Africa
México,Mexico,North America
Pakistán,Pakistan,Asia
Perú,Peru,South America
Reino Unido,United Kingdom,Europe
Rusia,Russia,Europe
Singapur,Singapore,Asia
Somalia,Somalia,Africa
Tailandia,Thailand,Asia
Turquía,Turkey,Asia
Unknown,Unknown,Unknown
